Price,Close,High,Low,Open,Volume
Ticker,EQIX,EQIX,EQIX,EQIX,EQIX
Date,,,,,
2023-11-14,770.3790893554688,771.9373967675334,760.538961291938,764.4691262429033,494300
2023-11-15,765.44921875,770.1830635745455,761.6954625538156,770.1830635745455,376500
2023-11-16,764.831787109375,769.3696024162216,759.8823513125811,767.5074100238288,408600
2023-11-17,759.2159423828125,770.8985832058902,757.941839007488,770.8985832058902,357000
2023-11-20,768.7227172851562,769.3695494391052,755.6581195241007,756.7754348826004,270700
2023-11-21,772.6234741210938,777.3965009521212,768.3208706889785,769.4969890061215,276800
2023-11-22,778.5333862304688,781.8265295196267,774.5052362821424,779.1704677735748,282000
2023-11-24,779.1704711914062,779.1704711914062,772.8488874800316,772.8488874800316,87800
2023-11-27,780.5621337890625,783.5220204568774,771.9471766656719,777.4748906395221,234200
2023-11-28,781.0521850585938,783.2770053078413,775.7989245550333,778.5529711095371,301900
2023-11-29,792.2154541015625,794.8715158775861,780.2289890572505,784.0709198147811,437400
2023-11-30,798.7820434570312,799.9189199464506,788.7557559201413,792.8917012228749,608800
2023-12-01,808.0046997070312,808.4359411227036,793.4993990832972,800.2914065152384,376000
2023-12-04,805.9562377929688,807.2695229569131,798.9780120703318,801.4379840935115,479500
2023-12-05,805.1231689453125,806.0738859994967,796.7728546993789,803.6726569507326,382100
2023-12-06,792.2056884765625,807.5734721962456,791.6568411944263,806.475777631973,343000
2023-12-07,793.9795532226562,798.7722007841274,787.922612915339,793.1170704779386,367200
2023-12-08,785.8056640625,792.431072637956,780.2779499447673,788.3930525300701,562900
2023-12-11,781.3070068359375,784.4726738062122,770.9670842834249,779.0331941525075,444800
2023-12-12,786.8739624023438,790.9315437867159,774.4464454478706,781.3070660259461,382800
2023-12-13,793.4895629882812,794.4990830182097,780.4347749027496,788.5401272359555,778500
2023-12-14,789.2555541992188,802.5946059653169,783.6984683963907,802.5946059653169,646400
2023-12-15,787.7265625,793.6855177194266,779.4938544532844,784.5412746666011,1090900
2023-12-18,789.6965942382812,796.6944413341446,780.3563808062918,795.2733008727366,510100
2023-12-19,793.3718872070312,794.4793920770675,787.6285825417956,789.7945998173243,429900
2023-12-20,778.6117553710938,797.7332929401316,778.1020901724146,797.7332929401316,381500
2023-12-21,785.6390380859375,785.9331125368936,776.1027946616832,782.6987721352867,457900
2023-12-22,783.7572631835938,794.028572814489,779.3370539208735,789.4417652353519,220100
2023-12-26,788.1284790039062,789.637793946927,781.6501075680032,781.6501075680032,166400
2023-12-27,790.8040771484375,791.7841657400744,786.0212400356609,786.0212400356609,231600
2023-12-28,797.8803100585938,798.3899154245793,791.6959537313621,793.362056402266,219600
2023-12-29,789.3536376953125,794.7441254445545,782.7772211060856,782.7772211060856,312900
2024-01-02,794.3421630859375,796.5081803553732,784.1198465047694,786.7562871442744,309900
2024-01-03,780.640625,791.9410760691536,777.2985489588449,788.8145908216823,304100
2024-01-04,779.0528564453125,785.1685999366806,775.1030705455506,780.1701718423524,376100
2024-01-05,772.6920776367188,782.9731976382228,770.8593167120202,778.7783896519458,347500
2024-01-08,787.2659301757812,788.6674496095347,771.3688629513783,773.1526312724801,374500
2024-01-09,782.7869873046875,787.4914007467888,778.2687930943712,782.3165639064362,325000
2024-01-10,788.37353515625,792.264458440594,781.1600969426422,787.9814757625228,222300
2024-01-11,785.0901489257812,791.2745055857289,783.7572427894054,785.4234053698057,195100
2024-01-12,798.7918701171875,799.5563081573337,790.9805324757187,793.4503750143803,283700
2024-01-16,802.8101806640625,809.5531951135512,798.7918412748576,803.2806040563975,323200
2024-01-17,782.95361328125,797.2433227065779,775.0835324406386,792.3722509556286,366500
